RecordID,MGMT_LEVEL,Tenure..days.,File,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,Score_P,Score_T,Flag
9978,0,1138,C,0.940514225,0.937662094,0.940979042,0.948599074,0.948869831,0.924065109,0.9,0.1,All good
9979,0,1135,C,0.927723814,0.930510534,0.938278861,0.948306366,0.942400388,0.933888534,0.68,0.32,All good
9980,0,1138,C,0.938128397,0.93799995,0.939970084,0.947633402,0.944393389,0.945847763,0.84,0.16,All good
9981,0,1138,C,0.917185896,0.919908362,0.914873154,0.916407747,0.922224097,0.916206452,0.2,0.8,All good
9982,0,1133,C,0.91807986,0.916932943,0.911444561,0.915497502,0.921088249,0.917907582,0.14,0.86,All good
9983,0,1152,C,0.930707575,0.923509141,0.923959744,0.931537296,0.930586675,0.946272497,0.5,0.5,All good
9984,0,1166,C,0.918168583,0.920618715,0.920426307,0.925742628,0.927483845,0.924222719,0.54,0.46,All good
9985,0,1138,C,0.932845378,0.93344047,0.939523078,0.946421042,0.945877038,0.947161851,0.68,0.32,All good
9986,0,1138,C,0.930494387,0.93060792,0.934822035,0.943362123,0.940345175,0.940985084,0.72,0.28,All good
9987,0,1138,C,0.943070921,0.941683172,0.939321754,0.948864681,0.946098,0.941009152,0.94,0.06,All good
9988,0,1138,C,0.937346437,0.933002569,0.933816391,0.937036931,0.944061852,0.946270904,0.6,0.4,All good
9990,0,1152,C,0.938831838,0.941717595,0.937125445,0.946163601,0.94514207,0.946151461,0.94,0.06,All good
9991,0,1165,C,0.940442,0.941335951,0.942893198,0.94875496,0.944555003,0.94729066,0.96,0.04,P
9992,0,1152,C,0.936489449,0.935207253,0.943715003,0.948738421,0.944253746,0.947296265,0.44,0.56,All good
